	Label	Score
703	1.0	0.904
704	1.0	0.896
705	0.0	0.399
706	1.0	0.52
707	1.0	0.965
708	0.0	0.164
709	0.0	0.226
710	0.0	0.134
711	1.0	0.797
712	0.0	0.017
713	1.0	0.946
714	0.0	0.032
715	1.0	0.932
716	1.0	0.324
717	1.0	0.858
718	0.0	0.429
719	1.0	0.959
720	0.0	0.785
721	1.0	0.976
722	1.0	0.952
723	1.0	0.907
724	0.0	0.354
725	1.0	0.629
726	1.0	0.935
727	0.0	0.627
728	1.0	0.938
729	0.0	0.625
730	0.0	0.662
731	0.0	0.777
732	0.0	0.245
733	1.0	0.598
734	1.0	0.364
735	1.0	0.977
736	1.0	0.918
737	0.0	0.234
738	0.0	0.044
739	0.0	0.048
740	1.0	0.921
741	0.0	0.012
742	1.0	0.946
743	1.0	0.847
744	1.0	0.884
745	0.0	0.507
746	1.0	0.428
747	1.0	0.657
748	1.0	0.993
749	1.0	0.977
750	0.0	0.973
751	1.0	0.989
752	1.0	0.534
753	0.0	0.482
754	0.0	0.015
755	0.0	0.176
756	0.0	0.366
757	1.0	0.961
758	0.0	0.367
759	1.0	0.474
760	1.0	0.764
761	1.0	0.682
762	1.0	0.835
763	1.0	0.795
764	1.0	0.944
765	0.0	0.896
766	1.0	0.873
767	1.0	0.525
768	1.0	0.776
769	1.0	0.95
770	1.0	0.992
771	0.0	0.208
772	1.0	0.854
773	1.0	0.731
774	1.0	0.752
775	0.0	0.005
776	1.0	0.901
777	0.0	0.128
778	0.0	0.176
779	1.0	0.929
780	1.0	0.826
781	0.0	0.283
782	0.0	0.34
783	1.0	0.934
784	1.0	0.911
785	1.0	0.76
786	1.0	0.841
787	0.0	0.639
788	0.0	0.328
789	1.0	0.91
790	1.0	0.916
791	1.0	0.944
792	1.0	0.986
793	0.0	0.608
794	1.0	0.979
795	0.0	0.333
796	1.0	0.864
797	1.0	0.937
798	1.0	0.592
799	0.0	0.065
800	1.0	0.344
801	1.0	1.0
802	0.0	0.494
803	0.0	0.325
804	1.0	0.852
805	1.0	0.969
806	1.0	0.904
807	1.0	0.973
808	1.0	0.614
809	0.0	0.803
810	0.0	0.47
811	0.0	0.908
812	1.0	0.857
813	1.0	0.794
814	0.0	0.184
815	1.0	0.757
816	0.0	0.078
817	0.0	0.153
818	1.0	0.254
819	0.0	0.102
820	1.0	0.626
821	1.0	0.491
822	1.0	0.677
823	1.0	0.969
824	1.0	0.855
825	1.0	0.985
826	1.0	0.869
827	1.0	0.888
828	1.0	0.69
829	0.0	0.148
830	1.0	0.907
831	1.0	0.99
832	0.0	0.04
833	1.0	0.974
834	1.0	0.955
835	1.0	0.764
836	0.0	0.709
837	0.0	0.627
838	1.0	0.93
839	0.0	0.031
840	1.0	0.919
841	0.0	0.66
842	1.0	0.918
843	0.0	0.378
844	1.0	0.486
845	1.0	0.814
846	0.0	0.69
847	1.0	0.193
848	0.0	0.036
849	1.0	0.991
850	0.0	0.899
851	1.0	0.965
852	1.0	0.843
853	1.0	0.54
854	1.0	0.611
855	0.0	0.37
856	0.0	0.614
857	1.0	0.836
858	1.0	0.944
859	1.0	0.894
860	1.0	0.83
861	1.0	0.719
862	1.0	0.919
863	0.0	0.6
864	1.0	0.916
865	1.0	0.86
866	1.0	0.861
867	0.0	0.312
868	0.0	0.545
869	0.0	0.374
870	1.0	0.857
871	0.0	0.239
872	1.0	0.681
873	1.0	0.886
874	1.0	0.699
875	1.0	0.965
876	0.0	0.408
877	1.0	0.206
878	1.0	0.687
879	1.0	0.962
880	1.0	0.778
881	1.0	0.917
882	1.0	0.969
883	1.0	0.98
884	1.0	0.663
885	1.0	0.97
886	0.0	0.6
887	0.0	0.242
888	1.0	0.925
889	1.0	0.239
890	1.0	0.936
891	0.0	0.414
892	1.0	0.878
893	1.0	0.948
894	0.0	0.765
895	0.0	0.854
896	0.0	0.186
897	0.0	0.086
898	1.0	0.984
899	1.0	0.951
900	1.0	0.889
901	1.0	0.866
902	0.0	0.451
903	0.0	0.03
904	1.0	0.363
905	0.0	0.145
906	1.0	0.778
907	1.0	0.909
908	0.0	0.853
909	0.0	0.274
910	0.0	0.626
911	0.0	0.604
912	1.0	0.954
913	1.0	0.876
914	1.0	0.701
915	1.0	0.972
916	0.0	0.274
917	0.0	0.118
918	1.0	0.947
919	1.0	0.953
920	0.0	0.086
921	1.0	0.938
922	0.0	0.212
923	1.0	0.845
924	1.0	0.913
925	0.0	0.796
926	1.0	0.873
927	1.0	0.085
928	1.0	0.912
929	0.0	0.589
930	1.0	0.895
931	1.0	0.914
932	0.0	0.331
933	1.0	0.901
934	0.0	0.122
935	0.0	0.06
936	0.0	0.734
937	1.0	0.857
938	1.0	0.904
939	1.0	0.922
940	1.0	0.922
941	0.0	0.485
942	1.0	0.925
943	1.0	0.964
944	1.0	0.415
945	0.0	0.934
946	1.0	0.944
947	1.0	0.91
948	1.0	0.804
949	1.0	0.74
950	1.0	0.945
951	0.0	0.695
952	0.0	0.854
953	1.0	0.921
954	1.0	0.788
955	1.0	0.992
956	1.0	0.992
957	0.0	0.443
958	0.0	0.396
959	1.0	0.898
960	0.0	0.712
961	1.0	0.512
962	0.0	0.437
963	1.0	0.647
964	1.0	0.887
965	1.0	0.945
966	1.0	0.84
967	1.0	0.6
968	1.0	0.952
969	0.0	0.024
970	1.0	0.934
971	1.0	0.953
972	1.0	0.326
973	0.0	0.57
974	1.0	0.642
975	1.0	0.549
976	0.0	0.279
977	0.0	0.821
978	0.0	0.35
979	1.0	0.757
980	1.0	0.926
981	1.0	0.566
982	0.0	0.742
983	1.0	0.894
984	1.0	0.436
985	1.0	0.898
986	1.0	0.32
987	1.0	0.741
988	0.0	0.697
989	1.0	0.993
990	1.0	0.883
991	1.0	0.215
992	0.0	0.582
993	0.0	0.179
994	1.0	0.684
995	0.0	0.665
996	0.0	0.562
997	0.0	0.243
998	1.0	0.33
999	1.0	0.928
1000	1.0	0.708
1001	1.0	0.01
1002	0.0	0.691
1003	1.0	0.867
1004	1.0	0.911
1005	0.0	0.339
1006	0.0	0.278
1007	1.0	0.716
1008	0.0	0.794
1009	1.0	0.974
1010	1.0	0.883
1011	0.0	0.703
1012	0.0	0.144
1013	1.0	0.95
1014	1.0	0.995
1015	1.0	0.937
1016	1.0	0.829
1017	0.0	0.666
1018	1.0	0.923
1019	0.0	0.475
1020	0.0	0.268
1021	0.0	0.571
1022	0.0	0.619
1023	0.0	0.909
1024	1.0	0.997
1025	1.0	0.933
1026	1.0	0.876
1027	1.0	0.876
1028	1.0	0.848
1029	1.0	0.838
1030	1.0	0.938
1031	0.0	0.005
1032	0.0	0.866
1033	1.0	0.849
1034	0.0	0.451
1035	1.0	0.739
1036	1.0	0.791
1037	1.0	0.905
1038	0.0	0.63
1039	1.0	0.846
1040	0.0	0.172
1041	1.0	0.809
1042	1.0	0.628
1043	1.0	0.95
1044	1.0	0.792
1045	0.0	0.761
1046	1.0	0.968
1047	1.0	0.97
1048	1.0	0.978
1049	1.0	0.213
1050	1.0	0.977
1051	1.0	0.9
1052	1.0	0.956
1053	1.0	0.97
1054	1.0	0.824
1055	1.0	0.519
1056	0.0	0.678
1057	1.0	0.962
1058	0.0	0.459
1059	0.0	0.305
1060	1.0	0.951
1061	1.0	0.914
1062	1.0	0.977
1063	1.0	0.662
1064	0.0	0.861
1065	0.0	0.176
1066	1.0	0.957
1067	1.0	0.955
1068	1.0	0.42
1069	1.0	0.828
1070	1.0	0.986
1071	0.0	0.573
1072	1.0	0.936
1073	0.0	0.336
1074	0.0	0.299
1075	1.0	0.803
1076	0.0	0.098
1077	1.0	0.301
1078	1.0	0.891
1079	1.0	0.085
1080	1.0	0.738
1081	1.0	0.994
1082	1.0	0.906
1083	0.0	0.676
1084	0.0	0.194
1085	0.0	0.472
1086	1.0	0.91
1087	0.0	0.077
1088	1.0	0.963
1089	1.0	0.857
1090	1.0	0.959
1091	1.0	0.925
1092	0.0	0.126
1093	0.0	0.805
1094	1.0	0.873
1095	1.0	0.519
1096	1.0	0.538
1097	1.0	0.972
1098	1.0	0.95
1099	1.0	0.868
1100	1.0	0.868
1101	1.0	0.307
1102	1.0	0.931
1103	0.0	0.01
1104	0.0	0.446
1105	0.0	0.891
1106	1.0	0.856
1107	1.0	0.958
1108	1.0	0.973
1109	0.0	0.08
1110	1.0	0.922
1111	0.0	0.834
1112	1.0	0.959
1113	1.0	0.834
1114	1.0	0.9
1115	0.0	0.047
1116	0.0	0.551
1117	0.0	0.626
1118	1.0	0.981
1119	1.0	0.873
1120	1.0	0.724
1121	1.0	0.912
1122	1.0	0.373
1123	0.0	0.704
1124	0.0	0.132
1125	0.0	0.227
1126	1.0	0.813
1127	1.0	0.957
1128	1.0	0.974
1129	1.0	0.858
1130	1.0	0.873
1131	1.0	0.985
1132	1.0	0.89
1133	1.0	0.874
1134	1.0	0.672
1135	0.0	0.034
1136	1.0	0.972
1137	1.0	0.879
1138	1.0	0.962
1139	0.0	0.823
1140	1.0	0.921
1141	1.0	0.922
1142	0.0	0.756
1143	1.0	0.88
1144	0.0	0.3
1145	0.0	0.471
1146	0.0	0.712
1147	1.0	0.896
1148	1.0	0.579
1149	0.0	0.174
1150	0.0	0.734
1151	1.0	0.725
1152	1.0	0.962
1153	1.0	0.672
1154	0.0	0.411
1155	1.0	0.926
1156	0.0	0.619
1157	1.0	0.924
1158	1.0	0.975
1159	1.0	0.907
1160	1.0	0.932
1161	1.0	0.775
1162	0.0	0.671
1163	1.0	0.993
1164	1.0	0.671
1165	0.0	0.553
1166	0.0	0.024
1167	1.0	0.942
1168	1.0	0.84
1169	0.0	0.454
1170	1.0	0.918
1171	1.0	0.889
1172	0.0	0.25
1173	1.0	0.943
1174	0.0	0.01
1175	1.0	0.962
1176	0.0	0.287
1177	0.0	0.453
1178	0.0	0.829
1179	1.0	0.356
1180	1.0	0.691
1181	1.0	0.723
1182	1.0	0.924
1183	1.0	0.953
1184	1.0	0.984
1185	1.0	0.864
1186	1.0	0.891
1187	1.0	0.925
1188	1.0	0.954
1189	1.0	0.956
1190	1.0	0.992
1191	1.0	0.87
1192	1.0	0.983
1193	0.0	0.021
1194	0.0	0.045
1195	1.0	0.785
1196	1.0	0.896
1197	1.0	0.673
1198	1.0	0.966
1199	1.0	0.947
1200	1.0	0.932
1201	1.0	0.938
1202	1.0	0.841
1203	0.0	0.457
1204	0.0	0.67
1205	1.0	0.594
1206	1.0	0.39
1207	1.0	0.972
1208	0.0	0.296
1209	1.0	0.951
1210	0.0	0.534
1211	1.0	0.918
1212	0.0	0.159
1213	0.0	0.243
1214	1.0	0.932
1215	1.0	0.909
1216	1.0	0.978
1217	0.0	0.217
1218	1.0	0.904
1219	1.0	0.913
1220	0.0	0.271
1221	0.0	0.299
1222	0.0	0.041
1223	1.0	0.96
1224	0.0	0.524
1225	0.0	0.645
1226	1.0	0.974
1227	1.0	0.547
1228	0.0	0.266
1229	1.0	0.669
1230	0.0	0.29
1231	1.0	0.346
1232	1.0	0.93
1233	1.0	0.807
1234	1.0	0.923
1235	0.0	0.349
1236	0.0	0.044
1237	0.0	0.368
1238	1.0	0.963
1239	1.0	0.399
1240	1.0	0.926
1241	0.0	0.152
1242	1.0	0.878
1243	1.0	0.977
1244	1.0	0.78
1245	1.0	0.964
1246	1.0	0.947
1247	0.0	0.665
1248	0.0	0.446
1249	1.0	0.922
1250	0.0	0.722
1251	1.0	0.499
1252	0.0	0.415
1253	1.0	0.581
1254	0.0	0.017
1255	1.0	0.519
1256	0.0	0.45
1257	1.0	0.809
1258	1.0	0.781
1259	0.0	0.285
1260	1.0	0.897
1261	1.0	0.996
1262	0.0	0.184
1263	1.0	0.542
1264	1.0	0.964
1265	0.0	0.247
1266	1.0	0.905
1267	1.0	0.883
1268	0.0	0.508
1269	1.0	0.39
1270	1.0	0.815
1271	1.0	0.861
1272	0.0	0.231
1273	1.0	0.906
1274	1.0	0.914
1275	1.0	0.854
1276	0.0	0.727
1277	1.0	0.984
1278	0.0	0.467
1279	1.0	0.972
1280	1.0	0.741
1281	1.0	0.842
1282	1.0	0.992
1283	0.0	0.215
1284	1.0	0.806
1285	0.0	0.045
1286	0.0	0.914
1287	0.0	0.429
1288	0.0	0.603
1289	1.0	0.996
1290	0.0	0.897
1291	0.0	0.7
1292	0.0	0.074
1293	1.0	0.93
1294	0.0	0.194
1295	0.0	0.728
1296	0.0	0.411
1297	1.0	0.945
1298	1.0	0.906
1299	1.0	0.902
1300	1.0	0.705
1301	1.0	0.965
1302	1.0	0.713
1303	1.0	0.973
1304	0.0	0.214
1305	1.0	0.824
1306	0.0	0.055
1307	1.0	0.775
1308	1.0	0.89
1309	0.0	0.639
1310	0.0	0.544
1311	1.0	0.954
1312	1.0	0.95
1313	1.0	0.493
1314	0.0	0.255
1315	1.0	0.937
1316	1.0	0.863
1317	1.0	0.709
1318	1.0	0.852
1319	1.0	0.166
1320	1.0	0.64
1321	0.0	0.029
1322	1.0	0.18
1323	1.0	0.673
1324	0.0	0.461
1325	0.0	0.754
1326	1.0	0.401
1327	1.0	0.752
1328	0.0	0.11
1329	1.0	0.74
1330	1.0	0.81
1331	1.0	0.965
1332	0.0	0.023
1333	1.0	0.945
1334	1.0	0.965
1335	0.0	0.659
1336	0.0	0.582
1337	1.0	0.974
1338	1.0	0.982
1339	1.0	0.974
1340	0.0	0.889
1341	1.0	0.931
1342	0.0	0.361
1343	1.0	0.886
1344	1.0	0.687
1345	1.0	0.75
1346	1.0	0.968
1347	1.0	0.665
1348	1.0	0.97
1349	1.0	0.978
1350	1.0	0.964
1351	1.0	0.83
1352	1.0	0.997
1353	1.0	0.735
1354	0.0	0.687
1355	1.0	0.841
1356	1.0	0.945
1357	1.0	0.502
1358	0.0	0.112
1359	0.0	0.136
1360	1.0	0.931
1361	1.0	0.774
